date,confirmed_cases,deaths,waybackmachine
3/20/20,1524,83,x
3/19/20,1376,74,x
3/18/20,1187,66,x
3/17/20,1012,52,x
3/16/20,904,48,x
3/15/20,769,42,x
3/14/20,642,40,x
3/13/20,568,37,x
3/12/20,457,31,x
3/11/20,366,29,x
3/10/20,267,24,x
3/9/20,162,22,x
3/8/20,136,18,x
3/7/20,102,16,x
3/6/20,79,11,x
3/5/20,70,10,x
3/4/20,39,10,x
3/3/20,27,9,x
3/2/20,18,6,x
3/1/20,18,5,x
2/29/20,6,0,x
2/28/20,3,0,x
2/27/20,1,0,
2/26/20,1,0,
2/25/20,1,0,
2/24/20,1,0,
2/23/20,1,0,x
2/22/20,1,0,
2/21/20,1,0,
2/20/20,1,0,
2/19/20,1,0,x
2/18/20,1,0,
2/17/20,1,0,
2/16/20,1,0,
2/15/20,1,0,
2/14/20,1,0,
2/13/20,1,0,
2/12/20,1,0,
2/11/20,1,0,
2/10/20,1,0,
2/9/20,1,0,
2/8/20,1,0,
2/7/20,1,0,
2/6/20,1,0,
2/5/20,1,0,x
2/4/20,1,0,
2/3/20,1,0,
2/2/20,1,0,
2/1/20,1,0,
1/31/20,1,0,
1/30/20,1,0,
1/29/20,1,0,
1/28/20,1,0,
1/27/20,1,0,
1/26/20,1,0,
1/25/20,1,0,
1/24/20,1,0,
1/23/20,1,0,
1/22/20,1,0,
1/21/20,1,0,x
